Textos_espanol,sdg
"Adems, el seguimiento y planificacin de la red escolar es limitado. Hay bastantes escuelas muy pequeas con clases pequeas que no ofrecen una rica experiencia de aprendizaje a los estudiantes. Esta situacin surge porque no se ha realizado una revisin de la red escolar para evaluar la necesidad de alguna reorganizacin de la oferta educativa local y no se han desarrollado estrategias importantes de transporte escolar.",4
"Cada vez se reconocen ms las repercusiones de un medio ambiente degradado sobre la salud y su reduccin se considera uno de los principales objetivos de la poltica, los programas y la normativa de proteccin medioambiental. Se ha avanzado en el control de la calidad de los principales medios ambientales y en la vigilancia de las enfermedades infecciosas. Se ha reforzado la capacidad profesional en materia de salud pblica y medioambiental con mtodos avanzados de vigilancia sanitaria y evaluacin de riesgos. ",3
"Formulario nico de recogida de datos - Datos agregados). Una estancia de ms de 24 horas se considera una lesin grave, y menos, una lesin leve. Sin embargo, desde 2010, la ANSV est trabajando con el Ministerio de Salud de la Nacin para vincular los registros hospitalarios y los datos del Formulario Naranja. Este proyecto de vinculacin se inici como piloto en dos de las provincias ms pobladas de Argentina, con el fin de recopilar datos basados en el MAIS 3. ",5
"El principal instrumento de medicin, el Adult Mental Health Benchmarking Toolkit, presenta indicadores de resultados en formato de cuadro de mando, combinando indicadores estructurales, de proceso y de resultados. Por lo general, se entiende que los trastornos leves a moderados (como la depresin y la ansiedad) no requieren tratamientos altamente especializados administrados por psiquiatras o en rgimen de hospitalizacin en la gran mayora de los casos. Por el contrario, requieren una slida atencin primaria y comunitaria. Aunque la atencin primaria es, en la inmensa mayora de los casos, el primer punto al que acuden las personas que sufren trastornos mentales, los mdicos de atencin primaria no siempre disponen de las competencias y opciones de tratamiento adecuadas para responder eficazmente a las necesidades. ",3
"Los esfuerzos deben centrarse en abordar las desigualdades en el acceso a los servicios sanitarios -entre regiones, as como entre ciudades y zonas rurales- teniendo en cuenta la geografa del pas y la baja densidad de población en la planificación de la prestación sanitaria. Las redes de instalaciones a todos los niveles deberan reorganizarse de forma compatible con los nuevos modelos de prestación de servicios y en apoyo de los mismos, y ajustarse a las tendencias demográficas y los patrones de acceso. Para este ejercicio, un punto de partida podran ser los planes maestros de prestación de servicios desarrollados en los últimos años. ",5
"Incluso en los pases de la OCDE considerados con una atencin primaria fuerte, como el Reino Unido, Australia y Nueva Zelanda, una gran proporcin de mdicos sigue trabajando en solitario. En Israel, un consultorio medio de atencin primaria cuenta con el equivalente a 3,4 mdicos generalistas, 2,6 enfermeras, 1,5 auxiliares y la mayora tiene un director de consulta. En los ltimos aos, el Reino Unido, Australia, Francia y Suiza han modificado la financiacin o proporcionado pagos adicionales a los mdicos de cabecera para intentar dar prioridad a estos servicios, pero han tenido un xito limitado a la hora de impulsar un cambio en todo el sistema. ",3
"Adems, los alumnos de los cursos 9 y 10 tienen una tarea de proyecto obligatoria que les da la oportunidad de completar y presentar un proyecto interdisciplinar. El proyecto se evala mediante una declaracin escrita basada en el contenido, el proceso de trabajo y la presentacin del trabajo final. La evaluacin del proyecto se puede indicar en el certificado de fin de estudios. ",4
"Al abordar este desafo poltico, los REA pueden actuar contra los silos de conocimiento (Plotkin, 2010:5), independientemente de si estos se derivan de las diferencias entre las instituciones educativas, los pases o los entornos de aprendizaje formales, informales y no formales. En cada caso, el intercambio de recursos hecho posible por REA es ms valioso cuando los recursos se liberan como REA completos que permiten no solo reutilizar sino tambin remezclar y reutilizar.",5
"Sin embargo, la prevalencia de nios de 0 a 6 meses con bajo peso aument del 6,9% en 2005 al 8,4% en 2010. En 2014, el bajo peso al nacer era ms frecuente en las zonas rurales (sobre todo en la regin occidental, con un 6,6%) que en las urbanas (3,8% en Uln Bator). En 1997, el Gobierno aprob una primera lista de productos qumicos txicos y peligrosos prohibidos y de uso limitado. ",3
"Al final de la educacin primaria, las escuelas deben informar sobre la medida en que sus alumnos han alcanzado los objetivos de aprendizaje bsicos esperados. Si bien las escuelas tienen la libertad de utilizar diferentes instrumentos para este propsito, el 85% de las escuelas utilizan la prueba de fin de primaria de Cito, que brinda informacin sobre el tipo de escuela ms adecuado para cada estudiante en la siguiente etapa de la educacin. Las nuevas leyes que se implementarn a partir del ao escolar 2014/15 obligan a las escuelas primarias a administrar sistemas regulares de monitoreo de estudiantes, as como una prueba final al final del ao 8.",4
"Con el teln de fondo de una prolongada falta de fuentes oficiales de informacin fiable sobre la produccin, el trfico y el uso indebido de drogas ilcitas entre los pases de la regin, ha habido varios informes de los medios de comunicacin y anecdticos sobre el uso indebido generalizado de comprimidos falsificados de Captagon (que contienen anfetamina) entre todas las partes implicadas en la violencia armada en la Repblica rabe Siria. Es significativo que, por primera vez en seis aos, el Estudio sobre el Opio en Afganistn 2015, del que se dispone del resumen ejecutivo, seala que se ha producido una disminucin de la superficie total estimada de cultivo ilcito de adormidera en Afganistn, que en 2015 ascendi a 183.000 hectreas (ha). Esto representa una disminucin en comparacin con 2014, cuando el cultivo alcanz niveles rcord, con 224.000 hectreas.",5
"Al mismo tiempo, la informacin oficial sobre las pruebas nacionales repite claramente el mensaje de que las pruebas nacionales solo miden un rea discreta del conocimiento y las habilidades de los estudiantes, brindando una instantnea del rendimiento de los estudiantes en objetivos de aprendizaje seleccionados, y que se necesitan evaluaciones complementarias para medir completamente proceso estudiantil. La investigacin de diferentes pases indica que, si bien la evaluacin tiene como objetivo principal medir el progreso y los resultados del aprendizaje, tambin tiene efectos en el proceso de aprendizaje en s (Somerset, 1996). Varios autores han descrito esta influencia de la evaluacin en la enseanza y el aprendizaje como el efecto de retroceso de la evaluacin de los estudiantes (Alderson y Wall, 1993, Baartman et al.,",4
"La falta de pruebas slidas de la medicin de la seguridad de los pacientes en los entornos de atencin primaria y ambulatoria puede explicarse en parte por la naturaleza fragmentada de este entorno descrita en la introduccin. De hecho, las respuestas a la encuesta sugieren que el carácter fragmentado de los ""sistemas"" de atención primaria y ambulatoria y la falta de gobernanza general del sistema son el principal obstáculo para la aplicación de medidas e intervenciones de seguridad (véase el captulo 4). Esto significa que la información rara vez puede vincularse. Estos obstáculos técnicos pueden impedir captar con precisión la imagen completa de la frecuencia y magnitud de los daños sufridos por los pacientes a lo largo de su recorrido.",3
"Los estudios que utilizan la clase ocupacional o el nivel educativo en lugar de la renta como indicador socioeconómico encuentran resultados cualitativamente similares, aunque las diferencias en la esperanza de vida son significativamente menores (Palosuo et al., El proyecto TEROKA pretende desarrollar una base de conocimientos y herramientas para promover la consecución del objetivo del programa de salud pública Salud 2015 de reducir las desigualdades en salud. An analysis of the recent hospital reform in Norway, en: Andresen y Gronlie (eds.), ",3
"Al no tratarse de planes de clase detallados, los recursos exigen (y presuponen) una gran autonoma y capacidad de accin por parte del profesorado. Estn dirigidos a profesores expertos que pueden disear su entorno de aprendizaje y sus clases. Sin embargo, como se ha comprobado sobre el terreno, los recursos pedaggicos no son suficientes para la mayora de los profesores y deben complementarse con otros recursos de aprendizaje. ",4
"Mientras que la eficacia mide el efecto de un agente teraputico en condiciones y entornos controlados, la efectividad mide el efecto de un tratamiento en condiciones menos controladas en entornos sanitarios del ""mundo real"". Medir la eficacia es mucho ms fcil en pacientes con una sola enfermedad. Por ello, es muy habitual que las personas con mltiples enfermedades crnicas queden excluidas de los ensayos clnicos aleatorizados.",3
"Algunos de los beneficios del reconocimiento de habilidades recaen en los empleadores solo colectivamente (por ejemplo, un sector econmico), ya que un sector tiene inters en tener un grupo de trabajadores calificados y calificados y el riesgo de caza furtiva asociado con habilidades ms visibles es menos problemtico para un sector que para un empleador individual. Incluyen tanto las habilidades relativamente simples involucradas en tareas fsicas o servicios digitales (ingreso de datos o soporte administrativo) hasta habilidades de nivel superior en actividades como programacin o consultora empresarial (OCDE 2016b). En estos contextos, muchas de las herramientas ""tradicionales"" de capacitacin y reconocimiento de habilidades no se aplicarn: no hay un empleador que recompense a un empleado que aprende rpido con salarios por hora ms altos o testifique que el trabajador ha adquirido un conjunto especfico de habilidades.",5
"An queda mucho por hacer para reducir los tiempos de espera en las consultas externas de los hospitales de otras zonas, y el Gobierno se ha comprometido a construir un nuevo bloque de consultas externas para aumentar la capacidad de atender la demanda. Tambin se est llevando a cabo un ejercicio para mejorar la eficiencia interna en la gestin de los servicios ambulatorios con vistas a reducir los tiempos de espera. Otros factores que ponen a prueba la capacidad del sistema sanitario son el aumento de la inmigracin de trabajadores y pensionistas, los turistas que utilizan el sistema sanitario y los cambios en los comportamientos de riesgo de la poblacin.",3
"Algunos ejemplos son el Informe nacional sobre el estado y el desarrollo de la educacin, los resultados del estudio de seguimiento de la evaluacin del desempeo de los estudiantes de quinto y noveno grado, el anlisis de los resultados de la evaluacin externa del rendimiento de los estudiantes de noveno grado y el anlisis de los resultados de la prueba nacional unificada de 2012. No existen esquemas formales para que los lderes escolares participen en el apoyo a sus pares en otras escuelas (por ejemplo, intercambiando mejores prcticas, asesorando a nuevos lderes, apoyando a aquellos en escuelas aisladas o de bajo rendimiento) y el concepto de lder del sistema que no solo puede liderar a su la escuela, sino que tambin contribuyen a la mejora de todo el sistema es bastante incipiente. Existen pocos mecanismos para compartir recursos entre las escuelas con el fin de hacer un uso ms eficiente de su infraestructura fsica, equipos y materiales didcticos, o de sus recursos humanos.",4
"Algunos municipios tambin han introducido polticas de rea de cdigo postal y aplicacin central para inscribir a los estudiantes en una determinada escuela sobre la base de las necesidades y caractersticas de la escuela en lugar de dar a las familias la posibilidad de elegir la escuela completa (Ministerie van Onderwijs, Cultuur en Wctcnschap, 2008(9oi En otras dos ciudades holandesas, Nijmegen y Deventer, el gobierno local impuso la integracin como criterio en el proceso de eleccin de escuela, con el objetivo de tener un 70% de estudiantes nativos junto con un 30% de estudiantes inmigrantes (Ladd, Fiske and Ruijs, 2009[ 7oj). Ms concretamente, todas las escuelas primarias de Nijmegen han acordado un sistema de suscripcin central basado en la distribucin de los alumnos en diferentes categoras para llegar a un porcentaje del 30 % de alumnos desfavorecidos en cada escuela.",4
"Algunos pases, incluidos Austria, Blgica, Canad, Chile, Italia, Japn, los Pases Bajos y Espaa, tambin brindan incentivos fiscales explcitos para la capacitacin, adems de la deducibilidad estndar de los costos de capacitacin y de los salarios pagados a los aprendices y aprendices. Las lecciones de evaluaciones recientes muestran que la efectividad de los incentivos fiscales depende de su diseo. Por ejemplo, un diseo muy complejo puede reducir las tasas de aceptacin, generar reclamos de alivio laxo por debajo del nivel ptimo o conducir a altas tasas de incumplimiento.",5
"As, donde la vivienda est altamente segregada, las escuelas tambin tienden a estar segregadas. Las escuelas que se perciben como de mejor calidad a menudo estn ubicadas en reas donde los precios de las propiedades y los alquileres son ms altos. Por lo tanto, la educacin de buena calidad a menudo tiene un precio implcito en el mercado de la vivienda y es posible que los estudiantes inmigrantes de entornos socioeconmicos bajos no tengan acceso a ella (Field et al.,",4
"El Ministerio planea ahora implicarse ms a travs del proyecto ""Implantacin de Guas de Prctica Clnica en la asistencia cubierta por el seguro mdico pblico"", financiado por la UE y puesto en marcha a finales de 2013. El sistema de auditora interna de la calidad y el sistema de supervisin de la seguridad de los pacientes son obligatorios por ley, pero siguen sin aplicarse. No est claro hasta qu punto estas auditoras se traducen en procesos reales de mejora de la atencin al paciente.",3
"Aunque existen algunas variaciones en las definiciones detalladas que se utilizan, las siguientes descripciones ofrecen una indicacin til de cmo los trminos 'formal', 'no formal' e 'informal' se aplican comnmente a la educacin y el aprendizaje. El aprendizaje no formal tiene muchas manifestaciones, pero los ejemplos incluiran clases de alfabetizacin para adultos en las aldeas y la formacin de entrenadores en un club deportivo. El sitio web iSpot Nature ofrece un ejemplo en lnea de aprendizaje colaborativo y autodirigido donde los usuarios aprenden a identificar y apreciar la flora y la fauna compartiendo informacin en una comunidad en lnea (Recuadro 1.1).",4
"El sistema ingls de atencin a la salud mental, que opera predominantemente bajo el Servicio Nacional de Salud, pero tambin bajo Salud Pblica de Inglaterra y junto a las Autoridades Locales gubernamentales, se compone de atencin primaria y especializada (""atencin secundaria"" y ""atencin terciaria""), y atencin social. Es probable que la atención integral de la salud mental incluya también cierta intervención de los servicios de atención social, tanto de los servicios financiados y gestionados por Public Health England como de los servicios sociales locales gestionados por las Autoridades Locales. Los servicios de atención de salud mental financiados por el gobierno y gestionados por el estado se complementan a veces con servicios voluntarios y con servicios privados pagados por el NHS, especialmente para la atención de seguridad media y baja (véanse la sección 3.2 y la sección 4.3.ii).",3
"Aunque la financiacin pblica ha sufrido algunas reducciones debido a la crisis econmica, el gasto por alumno sigue estando por encima de la media de la OCDE. Las altas tasas de abandono escolar y desempleo juvenil requieren esfuerzos para consolidar las habilidades bsicas y adaptarse mejor a las necesidades del mercado laboral, centrndose en la calidad de la educacin y la provisin de educacin y formacin profesional. Al mismo tiempo, la calidad de los docentes y el liderazgo escolar se puede mejorar a travs de una formacin inicial y continua ms especfica.",4
"Los requisitos actuales del Plan, introducidos en 2013, incluyen objetivos regionales especficos, y también se definen varios objetivos a través de la lista de tarifas.  Health Japan 21"" establece un objetivo de prevención de enfermedades asociadas a los hábitos de la vida adulta. El cumplimiento de las directrices es voluntario y no está claro el impacto de su evolución en la calidad. Esto se debe a la falta de indicadores completos y procesables que apoyen la mejora de la calidad. ",3
"Basado en datos armonizados de rendimiento de estudiantes de 15 aos recopilados a nivel individual, el anlisis emprico muestra que, mientras que los pases nrdicos de Europa exhiben niveles relativamente bajos de desigualdad, Europa continental se caracteriza por altos niveles de desigualdad, en particular de segregacin escolar segn el nivel socioeconmico. -lneas econmicas- mientras que los pases anglosajones ocupan una posicin algo intermedia. A pesar de la dificultad de identificar adecuadamente la relacin causal, el anlisis de regresin entre pases proporciona informacin sobre el potencial de las polticas para explicar las diferencias observadas en la equidad en la educacin. Las polticas que permiten una mayor mezcla social estn asociadas con una menor segregacin socioeconmica escolar sin afectar el desempeo general.",5
"En la actualidad hay pocos indicadores que midan la calidad de la coordinacin asistencial. Sin una investigacin biomdica adecuada sobre la mejor manera de tratar a una persona con mltiples afecciones crnicas, ser difcil crear parmetros de calidad basados en pruebas. Como ya se ha sealado, es difcil elaborar directrices prcticas o parmetros de calidad para las personas con mltiples enfermedades crnicas. ",3
"Cabe preguntarse, sin embargo, si los alumnos con ms talento del pas asisten a estos centros, ya que los estudiantes desfavorecidos tienen un acceso ms limitado a las clases extraescolares para prepararse para la admisin. Adems, la proporcin de alumnos con mejores resultados en las evaluaciones internacionales sigue siendo muy pequea, mientras que un gran nmero se queda rezagado con respecto a sus compaeros de otros pases. Los sistemas educativos que mejoran ms rpidamente en PISA muestran que las mejoras en la parte superior e inferior de la escala de rendimiento pueden ir de la mano. ",4
"Chalmers School of Entrepreneurship (CSE), www.entrepreneur.chalmers.se, es a la vez una plataforma educativa, donde se pueden adquirir habilidades empresariales y una preincubadora para desarrollar ideas comerciales en etapas iniciales y para iniciar una empresa (la mayora de los estudiantes iniciar una empresa legal durante el ao del proyecto). El ncleo de esto es una red que rene a personas, universidades y empresas innovadoras interesadas en desarrollar y comercializar ideas de alta tecnologa en etapas tempranas con alto potencial de mercado. Hoy en da, CSE practica un proceso de Encubacin, es decir, ofrece una educacin de nivel de Maestra combinada con la incubacin de empresas a travs de una organizacin incubadora, Encubator, que opera en simbiosis con la educacin pero es propiedad de Chalmersinvest. Al participar como proveedor de ideas, los investigadores universitarios y otros inventores tienen la oportunidad de probar su invento en un proyecto de innovacin de un ao en CSE.",5
"Cinco de estos se ofrecen en universidades regionales bajo el Consejo de Educacin Superior: Ort Braude, Tel Hai, Sakhnin, Western Galilee y Sefad Colleges. Persisten las brechas socioeconmicas entre los grupos de poblacin y las disparidades entre Galilea y el centro de Israel. Israel necesita una estrategia poltica continua y concertada. La poltica debe garantizar que la infraestructura educativa que se ofrece a todos los nios rabes y judos, incluidas cuestiones como el tamao de las clases, las instalaciones educativas en todos los niveles, los estndares bsicos en ingls, matemticas y ciencias, sea de un nivel similar.",4
"Como concluye el informe de PISA, Estudiantes, computadoras y aprendizaje: Haciendo la conexin (OCDE, 2015): en general, las escuelas y los sistemas educativos no han sido efectivos para aprovechar el potencial de la tecnologa. En los pases de la OCDE, hay 0,77 computadoras por estudiante en la escuela, el 96% de las cuales estn conectadas a Internet (Tabla 11.6.4). Existen grandes diferencias en la proporcin de computadoras por estudiante entre los sistemas educativos.",4
"Como l lo expres, esta es una pregunta que parece olvidarse en la bsqueda de comparar y medir, y de justificar lo que hacen los educadores. Agreg: Donde podemos esperar perder el rumbo es cuando nos alejamos de la comprensin de esos valores fundamentales y lo que se supone que deben lograr en la educacin y la capacitacin a un proceso que burocratiza el endeudamiento. Mirando a travs de sus 23 universidades y ms de 20,000 escuelas, Sudfrica se ha vuelto muy buena para dar la impresin de lograr resultados particulares sin haberlos logrado en absoluto.",5
"Arogya World recurri a una asociacin pblico-privada para financiar y poner en marcha el programa. Entre los socios, adems de Nokia y la Universidad de Emory, estaban Johnson & Johnson y Aetna. Al menos 5 millones de personas padecen diabetes en la India. La diabetes mata a 10 lakh de indios cada ao. Un nivel alto de azcar en sangre durante periodos prolongados perjudica al organismo. ",3
"Como grupo histricamente desfavorecido en Nueva Zelanda (Marie, Fergusson y Boden, 2008, 177]), estas pautas especiales ayudan a los nuevos maestros a apoyar a los estudiantes maores. Es importante destacar que el programa est integrado en el horario de todos los maestros nuevos. Los equipos ofrecen apoyo a los maestros y la administracin que trabajan con nios inmigrantes. Adems, a menudo hay un psiclogo calificado para ayudar a los nios que han experimentado traumas o dificultades en sus vidas (Scholten et al., este apoyo vara y puede incluir consejos para maestros, trabajo de casos individuales con estudiantes inmigrantes y talleres para mejorar el clima de clase). Es importante destacar que los MIT interactan con los padres de los estudiantes inmigrantes para integrarlos en la comunidad escolar (Felder-Puig, Maier y Teutsch, 2016, 183) y, a menudo, sirven como puente lingstico entre los estudiantes, los padres y la escuela (profesores, administradores, etc) (",4
"Aunque el abuso del alcohol tiene un impacto importante en el patrn de mortalidad de las regiones septentrionales en general, ha tenido un impacto especialmente significativo en los pueblos indgenas, con niveles de consumo de alcohol atpicamente altos entre las mujeres. Por ejemplo, en la regin de Berezovo del distrito autnomo de Khanty-Mansi, en 1996-1999, de las 362 muertes entre la poblacin indgena, excluidos los lactantes, un tercio estaban asociadas al alcohol, mientras que la tasa de muertes relacionadas con el alcohol era del 15% en la poblacin no indgena. Las muertes de mujeres relacionadas con el alcohol fueron cinco veces ms altas entre los pueblos indgenas que entre los norteos rusos.565 En el distrito autnomo de Chukchi, el alcohol caus el 42% de las muertes de mujeres indgenas, mientras que el alcohol blanco caus el 19% de las muertes de mujeres no indgenas.566 Incluso cuando no acaba en prdidas humanas, el consumo de alcohol provoca prdidas econmicas que directa o indirectamente disminuyen la calidad de vida. La tasa de mortalidad por causas externas entre los indgenas norteos es ms del doble de la media rusa.",3
"Como resultado, los requisitos de admisin se han vuelto ms estrictos y ahora existen requisitos especficos en trminos de rendimiento en la educacin secundaria superior. La entrada es ahora un proceso de dos niveles. A aquellos con las calificaciones ms altas se les otorga la admisin directa, pero cualquier otra persona que desee inscribirse debe realizar un examen que incluye una entrevista, los cuales se califican para determinar el ingreso.",4
"La calidad de los servicios de salud mental debe incluir no slo la calidad de los servicios especializados, sino tambin la calidad de los servicios de atencin primaria y la calidad de los servicios prestados por otros sectores, por ejemplo los servicios de vivienda o empleo. Sin embargo, a menudo no se puede evitar elegir indicadores para la evaluacin comparativa de la calidad que reflejen la fuente de datos disponible en lugar de medidas ptimas de la calidad de la atencin, lo que ha perpetuado la dependencia de los indicadores orientados a la hospitalizacin, en lugar de reflejar el cambio en los patrones de prestacin de la atencin. Es crucial que, una vez acordadas las medidas ptimas de calidad, exista el compromiso de trabajar para recopilar estos datos. La creacin de registros y la evaluacin peridica de las personas con SMI en la atencin primaria pueden ayudar a reducir la carga de la enfermedad fsica y mejorar la calidad de la atencin (Holt et al.,",3
"Los problemas de salud mental leves a moderados constituyen la mayor parte de los casos, y estos problemas van en aumento desde hace varias dcadas. Por otra parte, las autoridades suecas reconocen que la enfermedad mental es un asunto nacional primordial. Suecia tambin ha sido un pas precursor en la desinstitucionalizacin y la puesta en marcha de programas oficiales de prevencin del suicidio.",3
"Como sugiri el proyecto de la OCDE sobre liderazgo escolar, las perspectivas de desarrollo profesional, as como las escalas salariales para los lderes escolares que estn separadas de las escalas salariales de los docentes y que reflejen las estructuras de liderazgo y los factores del nivel escolar, pueden ayudar a atraer lderes de alto rendimiento a todas las escuelas (Pont et al., El uso de los resultados de la evaluacin para informar el avance profesional puede ayudar a que la evaluacin para la rendicin de cuentas sea ms efectiva y significativa. Sin embargo, es importante tener en cuenta que la investigacin sobre los efectos de tales sistemas que vinculan la evaluacin con el avance profesional es escasa. Esto requiere indicadores confiables y aspectos y criterios de valoracin claros, capacitacin de los evaluadores y la debida consideracin del contexto en el que se desempea un lder escolar, dependiendo del contexto del pas, esto se refiere a conceptos como director de escuela en Australia, Canad y Estados Unidos o el director en el Reino Unido e Irlanda.",4
"Si se midieran los beneficios aportados por las tecnologas, se tratara de un anlisis coste-eficacia. Repercusiones de los avances de la tecnologa mdica en Australia. La principal conclusin es que el envejecimiento de la poblacin y el cambio climtico plantean importantes riesgos a largo plazo para la economa y la sostenibilidad de las finanzas pblicas, sobre todo en el sector sanitario.",3
"Con la implementacin de las nuevas leyes sobre evaluacin de estudiantes (Captulo 1), el Colegio para Exmenes tambin supervisar la calidad de las pruebas de fin de primaria administradas por las escuelas. Las responsabilidades de las escuelas y las juntas escolares incluyen la evaluacin formativa y sumativa regular de los estudiantes, las evaluaciones de desempeo de los maestros individuales y la atencin de calidad interna de la escuela. Adems de los tres actores tradicionales (el Ministerio, la Inspeccin y las escuelas), una serie de organizaciones intermedias tienen una influencia cada vez mayor en la evaluacin y evaluacin en el pas. Los Consejos de Educacin Primaria y Secundaria juegan un papel clave en la recopilacin y difusin de datos sobre el desempeo de las escuelas individuales, fortaleciendo as la rendicin de cuentas tanto horizontal como vertical.",4
